disease,symptoms,description,precautions,severity
Common Cold,"runny nose, sneezing, sore throat, mild cough, congestion, mild headache","A mild viral infection of the nose and throat. Usually resolves on its own within 7-10 days.","rest and stay hydrated, use saline nasal spray, gargle warm salt water, avoid cold drinks",Mild
Influenza (Flu),"fever, chills, muscle aches, fatigue, dry cough, headache, sore throat","A contagious viral respiratory illness that is generally more severe than a common cold.","rest in bed, drink plenty of fluids, take fever reducers if needed, isolate from others, seek care if breathing difficulty occurs",Moderate
COVID-19,"fever, dry cough, loss of taste or smell, fatigue, shortness of breath, sore throat","A viral respiratory illness caused by the SARS-CoV-2 virus, ranging from mild to severe.","isolate from others, monitor oxygen levels, rest and hydrate, seek emergency care if breathing becomes difficult",Moderate
Migraine,"severe one-sided headache, nausea, sensitivity to light, sensitivity to sound, visual aura","A neurological condition causing intense, throbbing headaches often with other symptoms.","rest in a dark quiet room, apply cold compress, stay hydrated, avoid known triggers, consider prescribed migraine medication",Moderate
Tension Headache,"dull aching head pain, tightness across forehead, neck stiffness, scalp tenderness","The most common type of headache, often linked to stress or muscle tension.","apply warm or cold compress, gentle neck stretches, manage stress, ensure adequate sleep",Mild
Gastroenteritis,"diarrhea, abdominal cramps, nausea, vomiting, mild fever, dehydration","Inflammation of the stomach and intestines, often from viral or bacterial infection.","drink oral rehydration solution, eat bland foods (rice, banana, toast), avoid dairy and fatty foods, rest",Moderate
GERD (Acid Reflux),"heartburn, regurgitation, chest discomfort, bloating, sour taste in mouth","A digestive condition where stomach acid frequently flows back into the esophagus.","avoid spicy and fatty foods, eat smaller meals, do not lie down right after eating, elevate head while sleeping",Mild
Food Poisoning,"nausea, vomiting, watery diarrhea, abdominal pain, fever, weakness","Illness caused by consuming contaminated food or water.","stay hydrated with electrolyte solution, rest, avoid solid food until vomiting stops, seek care if symptoms persist beyond 2 days",Moderate
Urinary Tract Infection,"burning urination, frequent urge to urinate, cloudy urine, lower abdominal pain, mild fever","A bacterial infection affecting any part of the urinary system, most often the bladder.","drink plenty of water, urinate frequently, avoid irritants like caffeine, complete prescribed antibiotics if given",Moderate
Hypertension,"often no symptoms, occasional headache, dizziness, blurred vision, nosebleeds","A chronic condition of consistently elevated blood pressure that increases cardiovascular risk.","reduce salt intake, exercise regularly, manage stress, monitor blood pressure regularly, take prescribed medication consistently",Moderate
Type 2 Diabetes,"increased thirst, frequent urination, fatigue, blurred vision, slow-healing wounds","A chronic condition affecting how the body processes blood sugar.","monitor blood sugar regularly, follow a balanced low-sugar diet, exercise regularly, take medication as prescribed",Moderate
Allergic Rhinitis,"sneezing, itchy eyes, runny nose, nasal congestion, postnasal drip","An allergic reaction causing cold-like symptoms, usually triggered by pollen, dust, or pet dander.","avoid known allergens, use air purifiers, try antihistamines, keep windows closed during high pollen seasons",Mild
Asthma,"wheezing, shortness of breath, chest tightness, persistent cough","A chronic respiratory condition causing airway inflammation and breathing difficulty.","use prescribed inhaler, avoid known triggers, monitor breathing, seek emergency care for severe attacks",Moderate
Bronchitis,"persistent cough, mucus production, fatigue, mild fever, chest discomfort","Inflammation of the bronchial tubes, often following a respiratory infection.","rest and hydrate, use a humidifier, avoid smoke and irritants, see a doctor if cough lasts over 3 weeks",Mild
Pneumonia,"high fever, productive cough, difficulty breathing, chest pain, chills","An infection that inflames the air sacs in one or both lungs.","seek prompt medical attention, complete prescribed antibiotics, rest, stay hydrated, monitor oxygen levels",Severe
Sinusitis,"facial pain or pressure, nasal congestion, thick nasal discharge, reduced sense of smell, headache","Inflammation of the sinus cavities, often following a cold or allergies.","use steam inhalation, saline rinses, stay hydrated, consult a doctor if symptoms last beyond 10 days",Mild
Conjunctivitis (Pink Eye),"red eyes, itchy eyes, watery discharge, gritty feeling, crusting of eyelids","Inflammation of the membrane covering the eye, often viral, bacterial, or allergic.","avoid touching or rubbing eyes, wash hands frequently, use clean compress, avoid sharing towels",Mild
Dermatitis (Skin Rash),"itchy skin, redness, dry patches, swelling, blistering in severe cases","Inflammation of the skin caused by irritants, allergens, or underlying conditions.","avoid known irritants, moisturize regularly, use mild soap, apply prescribed topical treatment",Mild
Iron-Deficiency Anemia,"fatigue, pale skin, shortness of breath, dizziness, brittle nails, cold hands and feet","A condition where the blood lacks enough healthy red blood cells due to insufficient iron.","eat iron-rich foods, take iron supplements if prescribed, pair iron with vitamin C for absorption, monitor with blood tests",Moderate
